Prediction,Category,Category Name,Sensitivity,Specificity,Categorical agreement,ME,VME,N,Resistant
R,ST,ST1087,-,100,100,0,-,1,0
R,ST,ST1090,-,100,100,0,-,1,0
R,ST,ST11,100,75,99.6268656716418,25,0,268,98.50746268656717
R,ST,ST11-1LV,100,0,100,100,0,1,100
R,ST,ST110,100,100,100,0,0,8,12.5
R,ST,ST1102,-,100,100,0,-,5,0
R,ST,ST1105,-,100,100,0,-,1,0
R,ST,ST1106,0,100,88.88888888888889,0,100,9,11.11111111111111
R,ST,ST1107,100,100,100,0,0,3,33.33333333333333
R,ST,ST1109,100,100,100,0,0,4,25
R,ST,ST111,84.21052631578947,97.5609756097561,93.33333333333333,2.4390243902439024,15.789473684210526,60,31.666666666666664
R,ST,ST1114,100,100,100,0,0,16,6.25
R,ST,ST1114-1LV,-,100,100,0,-,1,0
R,ST,ST1117,-,100,100,0,-,2,0
R,ST,ST1118-3LV,-,100,100,0,-,1,0
R,ST,ST1119,-,100,100,0,-,2,0
R,ST,ST1128,100,0,100,100,0,1,100
R,ST,ST113,-,100,100,0,-,11,0
R,ST,ST1132-1LV,-,100,100,0,-,1,0
R,ST,ST1135-1LV,0,100,0,0,100,1,100
R,ST,ST1138,50,100,75,0,50,4,50
R,ST,ST1138-1LV,-,100,100,0,-,3,0
R,ST,ST1142,-,100,100,0,-,1,0
R,ST,ST1144,-,100,100,0,-,1,0
R,ST,ST1145,-,100,100,0,-,1,0
R,ST,ST1148,-,100,100,0,-,1,0
R,ST,ST1150-1LV,-,100,100,0,-,1,0
R,ST,ST116,-,100,100,0,-,8,0
R,ST,ST1164,-,100,100,0,-,4,0
R,ST,ST1165,-,100,100,0,-,2,0
R,ST,ST1166,-,100,100,0,-,1,0
R,ST,ST1170-1LV,-,100,100,0,-,1,0
R,ST,ST1172-1LV,100,0,100,100,0,1,100
R,ST,ST1174,-,100,100,0,-,2,0
R,ST,ST1175,-,100,100,0,-,1,0
R,ST,ST1179-1LV,-,100,100,0,-,1,0
R,ST,ST1180,0,100,75,0,100,4,25
R,ST,ST1181,-,100,100,0,-,4,0
R,ST,ST1189,-,100,100,0,-,7,0
R,ST,ST1190,100,100,100,0,0,6,66.66666666666666
R,ST,ST1191,-,100,100,0,-,2,0
R,ST,ST1193,-,100,100,0,-,1,0
R,ST,ST1193-1LV,-,100,100,0,-,1,0
R,ST,ST1198,-,100,100,0,-,12,0
R,ST,ST12,50,87.5,83.33333333333334,12.5,50,18,11.11111111111111
R,ST,ST1203,100,100,100,0,0,3,66.66666666666666
R,ST,ST1207,-,100,100,0,-,6,0
R,ST,ST1208-1LV,-,100,100,0,-,1,0
R,ST,ST1213,100,100,100,0,0,6,33.33333333333333
R,ST,ST1214,-,100,100,0,-,1,0
R,ST,ST1214-1LV,-,100,100,0,-,1,0
R,ST,ST1217-3LV,-,100,100,0,-,1,0
R,ST,ST1219,-,100,100,0,-,1,0
R,ST,ST1224,-,100,100,0,-,3,0
R,ST,ST1224-1LV,100,0,100,100,0,1,100
R,ST,ST1226-1LV,-,100,100,0,-,1,0
R,ST,ST1228,-,100,100,0,-,4,0
R,ST,ST1229,-,100,100,0,-,4,0
R,ST,ST1229-1LV,-,100,100,0,-,1,0
R,ST,ST1230,-,100,100,0,-,1,0
R,ST,ST1236,100,0,100,100,0,1,100
R,ST,ST1239,100,0,100,100,0,2,100
R,ST,ST1241,-,100,100,0,-,6,0
R,ST,ST1243,-,100,100,0,-,2,0
R,ST,ST1244-2LV,-,100,100,0,-,1,0
R,ST,ST1246,-,100,100,0,-,3,0
R,ST,ST1247,-,100,100,0,-,1,0
R,ST,ST1248,100,100,100,0,0,4,50
R,ST,ST1250,-,100,100,0,-,5,0
R,ST,ST1254,-,100,100,0,-,1,0
R,ST,ST1255,-,100,100,0,-,1,0
R,ST,ST1263,-,50,50,50,-,2,0
R,ST,ST1265,100,100,100,0,0,3,33.33333333333333
R,ST,ST1269,-,100,100,0,-,1,0
R,ST,ST127,-,100,100,0,-,1,0
R,ST,ST1270-1LV,-,100,100,0,-,1,0
R,ST,ST1271,100,100,100,0,0,8,37.5
R,ST,ST128,-,100,100,0,-,2,0
R,ST,ST128-1LV,-,100,100,0,-,1,0
R,ST,ST129,100,100,100,0,0,3,33.33333333333333
R,ST,ST1290,-,100,100,0,-,1,0
R,ST,ST1296,100,100,100,0,0,3,66.66666666666666
R,ST,ST1296-1LV,-,100,100,0,-,1,0
R,ST,ST13,88.88888888888889,86.20689655172413,87.83783783783784,13.793103448275861,11.11111111111111,74,60.810810810810814
R,ST,ST1301,-,100,100,0,-,1,0
R,ST,ST1303,-,100,100,0,-,2,0
R,ST,ST1307,-,100,100,0,-,5,0
R,ST,ST1308,-,85.71428571428571,85.71428571428571,14.285714285714285,-,7,0
R,ST,ST1309,100,0,100,100,0,2,100
R,ST,ST1310,100,100,100,0,0,5,20
R,ST,ST1311,-,100,100,0,-,5,0
R,ST,ST1315,-,100,100,0,-,2,0
R,ST,ST1317,-,100,100,0,-,1,0
R,ST,ST1318,-,100,100,0,-,1,0
R,ST,ST1319,-,100,100,0,-,2,0
R,ST,ST132,-,100,100,0,-,4,0
R,ST,ST132-1LV,-,100,100,0,-,1,0
R,ST,ST1322,0,100,83.33333333333334,0,100,6,16.666666666666664
R,ST,ST133,25,100,88.88888888888889,0,75,27,14.814814814814813
R,ST,ST1334,-,100,100,0,-,1,0
R,ST,ST1339,-,100,100,0,-,1,0
R,ST,ST134,100,100,100,0,0,13,23.076923076923077
R,ST,ST1344-2LV,100,0,100,100,0,1,100
R,ST,ST1362,-,100,100,0,-,1,0
R,ST,ST1370-1LV,100,0,100,100,0,1,100
R,ST,ST1373,100,100,100,0,0,4,50
R,ST,ST1377-2LV,-,100,100,0,-,1,0
R,ST,ST1378,-,100,100,0,-,1,0
R,ST,ST138,100,100,100,0,0,16,6.25
R,ST,ST1380,-,100,100,0,-,6,0
R,ST,ST1381,-,100,100,0,-,3,0
R,ST,ST1382,-,100,100,0,-,1,0
R,ST,ST1393,0,100,66.66666666666666,0,100,3,33.33333333333333
R,ST,ST1396,-,100,100,0,-,1,0
R,ST,ST14,82.4074074074074,93.93939393939394,86.7816091954023,6.0606060606060606,17.59259259259259,174,62.06896551724138
R,ST,ST14-1LV,-,100,100,0,-,2,0
R,ST,ST14-2LV,100,0,100,100,0,3,100
R,ST,ST140,-,100,100,0,-,4,0
R,ST,ST1400-3LV,-,100,100,0,-,1,0
R,ST,ST1401,-,100,100,0,-,1,0
R,ST,ST1407,-,100,100,0,-,1,0
R,ST,ST1408,-,100,100,0,-,5,0
R,ST,ST1411,-,100,100,0,-,2,0
R,ST,ST1412,100,0,100,100,0,3,100
R,ST,ST1414,-,100,100,0,-,1,0
R,ST,ST1416,-,100,100,0,-,1,0
R,ST,ST1418,-,100,100,0,-,1,0
R,ST,ST1419,-,80,80,20,-,5,0
R,ST,ST1423,-,100,100,0,-,11,0
R,ST,ST1426,100,100,100,0,0,6,16.666666666666664
R,ST,ST1427,87.5,100,88.88888888888889,0,12.5,9,88.88888888888889
R,ST,ST1428,100,28.57142857142857,37.5,71.42857142857143,0,8,12.5
R,ST,ST1429,-,100,100,0,-,7,0
R,ST,ST1429-1LV,-,100,100,0,-,2,0
R,ST,ST143-2LV,-,100,100,0,-,3,0
R,ST,ST1430,-,100,100,0,-,1,0
R,ST,ST1432,-,100,100,0,-,1,0
R,ST,ST1437-2LV,-,100,100,0,-,1,0
R,ST,ST144,-,100,100,0,-,2,0
R,ST,ST1440,0,100,81.81818181818183,0,100,11,18.181818181818183
R,ST,ST1441,-,100,100,0,-,1,0
R,ST,ST1444,0,100,0,0,100,1,100
R,ST,ST1446,-,100,100,0,-,2,0
R,ST,ST1447,-,100,100,0,-,1,0
R,ST,ST1449,-,100,100,0,-,5,0
R,ST,ST145,-,100,100,0,-,1,0
R,ST,ST1453,-,100,100,0,-,1,0
R,ST,ST1454,-,100,100,0,-,3,0
R,ST,ST1456,100,100,100,0,0,11,18.181818181818183
R,ST,ST146,-,100,100,0,-,4,0
R,ST,ST146-3LV,-,100,100,0,-,1,0
R,ST,ST146-4LV,0,100,0,0,100,1,100
R,ST,ST1462-2LV,0,100,0,0,100,1,100
R,ST,ST1464,-,100,100,0,-,1,0
R,ST,ST1466,100,0,100,100,0,1,100
