"id","displayname","latitude","longitude","day","month","year","literaturelink","Secondary sample accession","Alternative sample name 2","Host","Environmental sample","City/region","Collection date","Host status","Run accession","Alternative sample name 1","Study accession","Sample alias","Isolation source","Accession","Host sex","Country","Sample accession","Collected by","Experiment accession"
"644019af8c9ce563668c342d","SAMN31262979",-37,144,1,1,2019,"","SRS15389466","","Human","False","Victoria","2019-01-01","","SRR21884217","","PRJNA857533","AUSMDU00025029","","","","Australia","SAMN31262979","MDU PHL","SRX17871229"
"644019af8c9ce568838c3430","SAMN31390134",40,-100,8,9,2022,"","SRS15485291","","Human","False","","2022-09-08","","SRR21986343","","PRJNA288601","2022CK-00564","urine","","","USA","SAMN31390134","","SRX17968964"
"644019af8c9ce5bb268c35bb","SAMN31390135",40,-100,4,9,2022,"","SRS15485292","","Human","False","","2022-09-04","","SRR21986342","","PRJNA288601","2022CK-00565","urine","","","USA","SAMN31390135","","SRX17968965"
"644019af8c9ce55e598c35ba","SAMN31592762",40,-100,15,8,2022,"","SRS15658630","","Human","False","","2022-08-15","","SRR22179815","","PRJNA288601","2022CK-00567","Wound/Abscess","","","USA","SAMN31592762","","SRX18158465"
"644019af8c9ce50cf08c35b9","SAMN31592763",40,-100,7,8,2022,"","SRS15658631","","Human","False","","2022-08-07","","SRR22179814","","PRJNA288601","2022CK-00568","blood","","","USA","SAMN31592763","","SRX18158466"
"644019af8c9ce506f78c35b6","SAMN31713205",40,-100,30,6,2022,"","SRS15745864","","Human","False","","2022-06-30","","SRR22276936","","PRJNA288601","2022KU-00273","urine","","","USA","SAMN31713205","","SRX18251336"
"6483369e81b1490012317bd3","SAMN31815268",38.0429742,114.5088385,13,4,2022,"","SRS17048803","","","","Shijiazhuang","2022-04-13","","SRR23867293","","PRJNA903849","CHS117","","","","China","SAMN31815268","","SRX19679411"
"644019af8c9ce5061b8c3435","SAMN31854198",40,-100,1,1,2022,"","SRS15854382","","Human","False","","2022-01-01","","SRR22398233","","PRJNA288601","2022HL-01877","urine","","","USA","SAMN31854198","","SRX18367950"
"644019af8c9ce529638c35d3","SAMN31875538",-3.1,-60.07,1,1,2022,"","SRS15967931","","Melipona interrupta","False","AMazonas, Iranbunda","2022-01-01","","SRR22533698","","PRJNA906295","Enterobacteriaceae sp. L1_54_1","gut","","","Brazil","SAMN31875538","","SRX18497834"
"644019af8c9ce58bf58c35c5","SAMN32130555","","","","","","","SRS16018048","","","False","","","","SRR22588819","","PRJNA275974","2010N-4037","","","","","SAMN32130555","","SRX18551817"
"65c495f85f13bb5ff4f4136a","SAMN32422707",34.7487244,113.6191483,"","",2021,"","SRS16330112","","Human","","Zhengzhou","2021","","SRR22944084","","PRJNA916297","hCD08","stool","SRR22944084","","China","SAMN32422707","jingyu","SRX18901338"
"644019af8c9ce526588c35c3","SAMN32490767",26.3958,-98.336,4,3,2014,"","SRS16328751","","Mexican Fruit fly: Anastrepha ludens","False","","2014-03-04","","SRR22942732","","PRJNA911203","3517","","","","USA","SAMN32490767","","SRX18899962"
"644019af8c9ce5bd5b8c35c1","SAMN32490770",26.3958,-98.336,1,8,2018,"","SRS16328759","","Mexican Fruit fly: Anastrepha ludens","False","","2018-08-01","","SRR22942724","","PRJNA911203","5649","","","","USA","SAMN32490770","","SRX18899970"
"644019af8c9ce5857c8c3434","SAMN32490771",26.3958,-98.336,11,9,2018,"","SRS16328760","","Mexican Fruit fly: Anastrepha ludens","False","","2018-09-11","","SRR22942723","","PRJNA911203","5703","","","","USA","SAMN32490771","","SRX18899971"
"644019af8c9ce5cefd8c35c2","SAMN32490772",26.3958,-98.336,4,12,2018,"","SRS16328761","","Mexican Fruit fly: Anastrepha ludens","False","","2018-12-04","","SRR22942722","","PRJNA911203","5834","","","","USA","SAMN32490772","","SRX18899972"
"644019af8c9ce562468c3433","SAMN32490773",26.3958,-98.336,1,4,2019,"","SRS16328762","","Mexican Fruit fly: Anastrepha ludens","False","","2019-04-01","","SRR22942721","","PRJNA911203","5929","","","","USA","SAMN32490773","","SRX18899973"
"644019af8c9ce545998c35c4","SAMN32490775",26.3958,-98.336,27,6,2019,"","SRS16328764","","Mexican Fruit fly: Anastrepha ludens","False","","2019-06-27","","SRR22942719","","PRJNA911203","6008","","","","USA","SAMN32490775","","SRX18899975"
"644019af8c9ce5c2db8c3431","SAMN32646599","","",1,7,2022,"","SRS16405742","","Human","False","","2022-07-01","","SRR23030039","","PRJNA857686","2022CE-00827","","","","","SAMN32646599","","SRX18984640"
"65ca2ff1e035042be91947dc","SAMN32676067",60.472,8.4689,"","",2020,"","SRS16422167","","","","","2020","","SRR23048651","","PRJNA922900","KGVET-2020-01-2328-1","Caecal","SRR23048651","","Norway","SAMN32676067","Norwegian Veterinary Institute","SRX19002116"
"65ca2ff1e035040bbb1947db","SAMN32676073",60.472,8.4689,"","",2020,"","SRS16422173","","","","","2020","","SRR23048645","","PRJNA922900","KGVET-2020-01-2414","Caecal","SRR23048645","","Norway","SAMN32676073","Norwegian Veterinary Institute","SRX19002122"
"65ca2ff1e035047ac11947da","SAMN32676113",60.472,8.4689,"","",2020,"","SRS16422217","","","","","2020","","SRR23048601","","PRJNA922900","KGVET-2020-01-3500-3","Caecal","SRR23048601","","Norway","SAMN32676113","Norwegian Veterinary Institute","SRX19002166"
"657064157ece944e8a3094c0","SAMN32721413",-37.85,144.98,23,2,2020,"","SRS16721155","","Human","","Melbourne","2020-02-23","","SRR23384833","","PRJNA924056","CPO321","Rectal swab","SRR23384833","","Australia","SAMN32721413","Monash University","SRX19323205"
"657064157ece94633f3094c1","SAMN32721417",-37.85,144.98,20,12,2019,"","SRS16721157","","Human","","Melbourne","2019-12-20","","SRR23384836","","PRJNA924056","CPO301","Rectal swab","SRR23384836","","Australia","SAMN32721417","Monash University","SRX19323202"
"6483369e81b1490012317bc9","SAMN32721451",-37.85,144.98,24,1,2019,"","SRS16720973","","Human","","Melbourne","2019-01-24","","SRR23384810","","PRJNA924056","CPO021","","","","Australia","SAMN32721451","Monash University","SRX19322851"
"657064157ece94aab53094bf","SAMN32721474",-37.85,144.98,7,3,2020,"","SRS16721159","","Human","","Melbourne","2020-03-07","","SRR23384832","","PRJNA924056","CPO328","respiratory","SRR23384832","","Australia","SAMN32721474","Monash University","SRX19323206"
"657064157ece94c3823094bc","SAMN32721570",-37.85,144.98,26,1,2017,"","SRS16721050","","Human","","Melbourne","2017-01-26","","SRR23384735","","PRJNA924056","CPO112","urine","SRR23384735","","Australia","SAMN32721570","Monash University","SRX19322927"
"644019af8c9ce5403e8c35c8","SAMN32759072",27.731944,30.841111,18,1,2012,"","SRS16540962","","Faba bean","False","Minya, Mallawi","2012-01-18","","SRR23178145","","PRJNA923792","NGB-FR 73","root nodules","","","Egypt","SAMN32759072","Sameh H. Youseif","SRX19128554"
"644019af8c9ce5c76e8c35c6","SAMN32759073",27.921942,30.830237,18,1,2012,"","SRS16540963","","Faba bean","False","Minya, Abu Qurqas","2012-01-18","","SRR23178144","","PRJNA923792","NGB-FR 75","root nodules","","","Egypt","SAMN32759073","Sameh H. Youseif","SRX19128555"
"644019af8c9ce58c3d8c3436","SAMN32759074",27.536604,30.813845,19,1,2012,"","SRS16540964","","Faba bean","False","Assuit, Dayrout","2012-01-19","","SRR23178143","","PRJNA923792","NGB-FR 87","root nodules","","","Egypt","SAMN32759074","Sameh H. Youseif","SRX19128556"
"644019af8c9ce51d3d8c35ca","SAMN32759075",25.466943,30.523024,25,1,2012,"","SRS16540966","","Faba bean","False","New Valley, Kharga","2012-01-25","","SRR23178141","","PRJNA923792","NGB-FR 96","root nodules","","","Egypt","SAMN32759075","Sameh H. Youseif","SRX19128558"
"644019af8c9ce523cb8c35c9","SAMN32759076",29.13,31.13,17,1,2012,"","SRS16540967","","Faba bean","False","Beni Suef, Naser","2012-01-17","","SRR23178140","","PRJNA923792","NGB-FR 113","root nodules","","","Egypt","SAMN32759076","Sameh H. Youseif","SRX19128559"
"644019af8c9ce573b58c3438","SAMN32759077",28.925786,30.96252,17,1,2012,"","SRS16540968","","Faba bean","False","Beni Suef, Biba","2012-01-17","","SRR23178139","","PRJNA923792","NGB-FR 116","root nodules","","","Egypt","SAMN32759077","Sameh H. Youseif","SRX19128560"
"65c495f85f13bb7b3bf413c3","SAMN32816950",39.7837304,-100.445882,"","",2022,"","SRS16518491","","Human","","","2022","","SRR23163034","","PRJNA288601","2022QW-00103","blood","SRR23163034","","USA","SAMN32816950","","SRX19113598"
"644019af8c9ce5b9958c35c7","SAMN32876312",40,-100,1,1,2023,"","SRS16555244","","Human","False","","2023-01-01","","SRR23193504","","PRJNA288601","2023EP-00006","urine","","","USA","SAMN32876312","","SRX19142573"
"65c495f85f13bbde40f413d0","SAMN32923553",54.7023545,-3.2765753,18,2,2021,"","SRS16595665","","","","","2021-02-18","","SRR23238026","","PRJNA925315","Bt_49","missing","SRR23238026","","United Kingdom","SAMN32923553","UKHSA","SRX19184285"
"65c6021a10bc37e4f74b825c","SAMN32923621",54.7023545,-3.2765753,27,4,2021,"","SRS16595708","","","","","2021-04-27","","SRR23237983","","PRJNA925315","Bt_117","missing","SRR23237983","","United Kingdom","SAMN32923621","UKHSA","SRX19184328"
"65c6021a10bc370fb54b825a","SAMN32923635",54.7023545,-3.2765753,11,5,2021,"","SRS16595723","","","","","2021-05-11","","SRR23237968","","PRJNA925315","Bt_131","missing","SRR23237968","","United Kingdom","SAMN32923635","UKHSA","SRX19184343"
"65c5e53410bc37986b4b72b8","SAMN33005129",39.7837304,-100.445882,"","",2023,"","SRS16647973","","Human","","","2023","","SRR23301041","","PRJNA288601","2023GN-00087","sputum","SRR23301041","","USA","SAMN33005129","","SRX19244072"
"644019af8c9ce5d3438c35d2","SAMN33772906",40,-100,1,1,2023,"","SRS17055260","","Human","False","","2023-01-01","","SRR23873884","","PRJNA288601","2023BK-00007","blood","","","USA","SAMN33772906","","SRX19685937"
"6483369e81b1490012317bd5","SAMN33841361",39.7837304,-100.445882,"","",2023,"","SRS17104558","","Human","","","2023","","SRR23928192","","PRJNA288601","2023EL-00157","","","","USA","SAMN33841361","","SRX19738389"
"644019af8c9ce59f028c33a0","SAMN33971125",40,-100,1,1,2023,"","SRS17171663","","Human","False","","2023-01-01","","SRR24007552","","PRJNA288601","2023BM-00035","urine","","","USA","SAMN33971125","","SRX19810914"
